best	 adj. 最好的 adv. 最好地
half	 n. 一半，半数
past	 prep. 晚于；过（时间） adj. 过去的
quarter	 n. 四分之一；一刻钟
homework	 n. 家庭作业
do (one’s) homework	 做作业
run	 v. 跑；奔
clean	 v. 打扫；弄干净； adj. 干净的
walk	 v. 行走；步行 n. 散步
take a walk	 散步；走一走
quickly	 adv. 很快地
either	 adv. 也(不) （用在否定词组后）
Either…or ……	 要么……要么……；或者……或者……
lot	 pron. 大量；许多
lots of	 大量；许多
sometimes	 adv. 有时
taste	 v. 有…的味道；品尝 n. 味道；滋味
Life	 n. 生命；生活
train	 n. 火车
bus	 n. 公交车
subway	 n. 地铁
take the subway	 乘地铁
ride	 v. 骑 n. 旅行
bike	 n. 自行车
ride a bike	 骑自行车
sixty	 num. 六十
seventy	 num. 七十
eighty	 num. 八十
ninety	 num. 九十
hundred	 num. 一百
minute	 n. 分钟
far	 adj. 远；远的 adv. 远；用于表示进展情况或影响程度
kilometer	 n. 公里（等于kilometre）
new	 adj. 新的；刚出现的
every	 adj. 每一；每个
every day	 每天
by	 prep. 由谁/什么做某事
by bike	 骑自行车
drive	 v. 开车
car	 n. 小汽车；轿车
live	 v. 居住；生活
stop	 n. 车站；停止
think of	 认为
cross	 v. 横过；越过
river	 n. 河；江
many	 pron & adj. 许多
village	 n. 村庄；村镇
between	 prep. 介于…之间
between… and…	 在……和……之间
bridge	 n. 桥
boat	 n. 小船
ropeway	 n. 索道
year	 n. 年；岁
afraid	 adj. 害怕；惧怕
like	 prep. 像
leave	 v. 离开
dream	 n. 睡梦；梦想 v. 做梦
true	 adj. 真的；符合事实的
come true	 实现；成为现实
rule	 n. 规则；规章
arrive	 v. 到达
(be) on time	 准时
hallway	 n. 走廊；过道
hall	 n. 大厅；礼堂
dining hall	 n. 餐厅
listen	 v. 听；倾听
listen to…	 听……
fight	 v. 打（仗）；与（…）作战；战斗 n. 打斗，打架
sorry	 adj. 抱歉的；；难过的；惋惜的
outside	 adv. 在外面 adj. 外面的
wear	 v. 穿；戴
important	 adj. 重要的
bring	 v. 带来；取来
uniform	 n. 校服；制服
quiet	 adj. 安静的
out	 adv. 外出
go out	 外出（娱乐）
practice	 n. 练习
dish	 n. 碟；盘
do the dishes	 清洗餐具
before	 prep. 在…以前 adv. 以前
make (one’s) bed	 铺床
dirty	 adj. 脏的
kitchen	 n. 厨房
more	 pron. 更多的
noisy	 adj. 吵闹的
relax	 v. 放松；休息
read	 v. 读；阅读
terrible	 adj. 非常讨厌的；可怕的
feel	 v. 感受；觉得
strict	 adj. 严格的；严厉的
be strict (with sb)	 （对某人）要求严格
remember	 v. 记住； 记起
follow	 v. 跟随；遵循
follow the rules	 遵守规则
luck	 n. 幸运；运气
keep	 v. 保持；保留
hair	 n. 头发；毛发
learn	 v. 学习；学会
panda	 n. 熊猫
zoo	 n. 动物园
tiger	 n. 老虎
elephant	 n. 大象
koala	 n. 树袋熊
lion	 n. 狮子
giraffe	 n. 长颈鹿
animal	 n. 动物
cute	 adj. 可爱的；机灵的
lazy	 adj. 懒散的；懒惰的
smart	 adj. 聪明的
beautiful	 adj. 美丽的；美好的
scary	 adj. 吓人的；恐怖的
kind	 n. 种类
kind of	 稍微；有点儿
Australia	 n. 澳大利亚
south	 adj. 南方的 n. 南； 南方
Africa	 n. 非洲
South  Africa	 南非
pet	 n. 宠物
leg	 n. 腿
cat	 n. 猫
sleep	 n. 睡觉
friendly	 adj. 友好的
shy	 adj. 羞怯的；腼腆的
save	 v. 救；救助
symbol	 n. 象征
flag	 n. 旗；旗帜
forget	 v. 忘记；遗忘
get lost	 迷路
place	 n. 地点；位置
water	 n. 水
danger	 n. 危险
be in (great) danger	 处于（极大）危险之中
cut	 v. 砍；切
down	 adv. （坐、躺、倒）下；向下；沿着，顺着
cut down	 砍倒
tree	 n. 树
kill	 v. 杀死；弄死
ivory	 n. 象牙
over	 prep. 超过；多于；；在… 上方（但未碰触）
(be) made of	 由……制成的
Julie	 朱莉（女名）
Becky	 贝姬（女名）
Thailand	 n. 泰国
Thai	 n. 泰国（人的）；泰语（的)
newspaper	 n. 报纸
read a newspaper	 看报纸
use	 v. 使用；运用
Soup	 n. 汤
make soup	 做汤
wash	 v. 洗
movie	 n. 电影
go to movies	 看电影
just	 adv. 只是；恰好
eat out	 出去吃饭
house	 n. 房子
drink	 n. 一杯（份）饮料；饮，喝 v. 喝；饮
tea	 n. 茶；茶叶
drink  tea	 喝茶
tomorrow	 adv. 在明天 n. 明天；中文释义: 来日；未来 (尤指不久的将来)
pool	 n. 游泳池； 水池
shop	 v. 购物 n. 商店
supermarket	 n. 超市
man	 n. 男人；成年男子；中文释义: 人 (尤用于正式场合或过去)
race	 n. 竞赛
host	 n. 主人；东道主
study	 n. 研究 (对某一课题或问题的)；中文释义: 学习 (尤指在家里或放学后的) 词性: v. 中文释义: 学习，攻读
state	 n. 洲
the United States	 n. 美国；美利坚合众国
American	 adj. 美国的;美洲的 n. 美国人;美洲人
dragon	 n. 龙
Dragon Boat Festival	 端午节
any	 adj. 任何的； 任一的 pron. 任何；任一
other	 adj. 另外的；其他的 pron. 另外的人（或物）
young	 adj. 幼小的,年轻的
children	 n. 儿童
miss	 v. 怀念, 思念
wish	 v. 希望
delicious	 adj. 可口的,美味的
still	 adv. 还,仍然
living room	 n. 客厅
rain	 v. 下雨 n. 雨水
windy	 adj. 多风的
cloudy	 adj. 多云的
sunny	 adj. 晴朗的；开朗的，快乐的
snow	 v. 下雪； n. 雪
weather	 n. 天气
cook	 v. 做饭
bad	 adj. 坏的；糟的
park	 n. 公园
message	 n. 信息；消息
take a message	 捎个口信；传话
him	 pron. 他（he的宾格）
could	 v. 能；可以
back	 adj. 回来；回原处
call(sb)back	 回电话
problem	 n. 困难；难题
again	 adj. 再一次；又一次
dry	 adj. 干燥的
cold	 adj. 寒冷的；冷的
hot	 adj. 热的；辛辣的
warm	 adj. 温暖的
visit	 v. 拜访；参观
Canada	 n. 加拿大
summer	 n. 夏天；夏季
sit	 v. 坐
juice	 n. 果汁；饮料
soon	 adv. 不久；很快
vacation	 n. 假期
on(a)vacation	 度假
hard	 adv. 努力地 adj. 困难的
Europe	 n. 欧洲
mountain	 n. 高山
country	 n. 国；国家
skate	 v. 滑冰
snowy	 adj. 下雪的
winter	 n. 冬天；冬季
Russian	 adj. 俄罗斯的；俄罗斯人的；俄语的
snowman	 n. 雪人
rainy	 adj. 阴雨的；多雨的
Moscow	 莫斯科
Toronto	 多伦多
Boston	 波士顿
post	 n. 邮政
office	 n. 办公室
post office	 n. 邮局
police	 n. 警察
police station	 n. 警察局
hotel	 n. 旅店；酒店
restaurant	 n. 餐馆
bank	 n. 银行
hospital	 n. 医院
street	 n. 大街
pay	 v. 付费
pay phone	 付费电话
near	 prep. 在……附近
across	 adv. 过；穿过
across from	 在……对面
front	 n. 前面
in front of	 在……前面
behind	 prep. 在……后面
town	 n. 镇；市镇
around	 adv. 到处；大约
north	 n. 北；北方 adj. 北方的
along	 prep. 沿着
go along	 沿着（这条街）走
turn	 v. 转向；转移（思考、处理、观察等的对象）
right	 adv. 向右边； n. 右边；
left	 adv. 向左边 n. 左边；
turn right/left	 向右、左转
crossing	 n. 十字路口
neighborhood	 n. 街区；街坊
spend	 v. 花（时间、钱等）
spend time	 花时间
climb	 v. 爬
road	 n. 路
often	 adv. 时常；常常
air	 n. 空气
sunshine	 n. 阳光
free	 adj. 免费的
enjoy	 v. 享受；喜爱
enjoy reading	 喜欢阅读
easily	 adv. 容易地
money	 n. 钱
curly	 adj. 卷曲的
straight	 adj. 直的
tall	 adj. 高的
medium	 adj. 中等的
height	 n. 身高；高度
of medium height	 中等身高
thin	 adj. 瘦的
heavy	 adj. 重的
build	 n. 身材
of medium build	 中等身材
tonight	 adv. 今夜 n. 今夜
little	 adj. 小的
a little	 一点，少量
cinema	 n. 电影院
glasses	 n. 眼镜
later	 adj. 以后
handsome	 adj. 英俊的
actor	 n. 演员
actress	 n. 女演员
person	 n. 人
nose	 n. 鼻子
blonde	 adj. 金黄色的
mouth	 n. 嘴
round	 adj. 圆形的
face	 n. 脸
eye	 n. 眼睛
singer	 n. 歌手
artist	 n. 艺术家
crime	 n. 犯罪活动
criminal	 n. 罪犯
put	 v. 放
each	 pron. 每个，各自
way	 n. 方式；中文释义: 路线
describe	 v. 描述
differently	 adv. 不同地
another	 det & pron. 另一，又一
end	 n. 结尾，尽头
in the end	 最后
real	 adj. 真正的;真实的
jeans	 n. 牛仔裤
noodle	 n. 面条
mutton	 n. 羊肉
beef	 n. 牛肉
cabbage	 n. 卷心菜；洋白菜
potato	 n. 土豆；马铃薯
special	 adj. 特别的；特殊的 n. 特色菜；特价品
would	 v. （用于礼貌地请求）
would like	 愿意；喜欢
yet	 adv. （常用于否定句或疑问句）还；仍然
large	 adj. 大号的；大的
order	 n. 命令；点菜，点饮料 n. 发出/颁布命令
take one's order	 点菜
size	 n. 大小；尺码
bowl	 n. 碗
one(large)bowl of	 一（大）碗
tofu	 n. 豆腐
meat	 n. （可食用的）肉
dumpling	 n. 饺子
porridge	 n. 粥；面糊
onion	 n. 洋葱
fish	 n. 鱼；鱼肉
pancake	 n. 烙饼；薄饼
world	 n. 世界
around the world	 世界各地
answer	 n. 回答，答复；答案
different	 adj. 不同的
cake	 n. 蛋糕
candle	 n. 蜡烛
age	 n. 年龄
make a wish	 许愿
blow	 v. 吹
blow out	 吹灭
if	 conj. 如果
will	 v. 将，会，要（用于构成将来时）
the UK	 n. 英国
candy	 n. 糖果
lucky	 adj. 幸运的
popular	 adj. 受欢迎的；普遍的
get popular	 受欢迎；流行
cut up	 切碎
idea	 n. 想法；主意
bring good luck to…	 给……带来好运
milk	 v. 挤奶
cow	 n. 奶牛
milk a cow	 给奶牛挤奶
horse	 n. 马
ride a horse	 骑马
feed	 v. 喂养；饲养
feed chickens	 喂鸡
farmer	 n. 农民；农场主
quite	 adv. 相当；颇
quite a lot(of…)	 许多
anything	 pron. （常用于否定句或疑问句）任何东西；任何事物
grow	 v. 生长；种植
farm	 v. 务农；种田
pick	 v. 采；摘
excellent	 adj. 极好的；优秀的
countryside	 n. 乡村；农村
in the countryside	 在乡下；在农村
yesterday	 n. 昨天
flower	 n. 花
worry	 v. 担心；担忧
luckily	 adv. 幸运地；好运地
sun	 n. 太阳
museum	 n. 博物馆
fire	 n. 火；火灾
fire station	 n. 消防站
painting	 n. 油画；绘画
exciting	 adj. 使人兴奋的；令人激动的
lovely	 adj. 可爱的
expensive	 adj. 昂贵的
cheap	 adj. 廉价的；便宜的
slow	 adj. 缓慢的；迟缓的
fast	 adv. 快地 释义：adj. 快的
robot	 n. 机器人
guide	 n. 导游；向导
gift	 n. 礼物；赠品
all in all	 总的说来
everything	 pron. 一切；所有事物
interested	 adj. 感兴趣的
be interested in	 对……感兴趣
dark	 adj. 黑暗的；昏暗的
hear	 v. 听到；听见(过去式，过去分词 heard）
camp	 v. 扎营;扎帐篷
lake	 n. 湖，湖泊
beach	 n. 海滩，沙滩
badminton	 n. 羽毛球运动
sheep	 n. 羊，绵羊
as	 prep. 作为，当做
natural	 adj. 自然的
butterfly	 n. 蝴蝶
visitor	 n. 游客；访问者
tired	 adj. 疲倦的
stay	 v. 停留
stay up late	 熬夜；睡得很晚
away	 adv. 离开
run away	 跑开
mouse	 n. 老鼠
baby	 n. 婴儿
shout	 v. 呼叫，喊叫
shout at…	 冲……大声叫嚷
woof	 inter. （狗叫声）汪汪
language	 n. 语言
fly	 v. 乘飞机旅行；飞，飞翔
kite	 n. 风筝
fly a kite	 放风筝
high	 adj. 高的 adv. （离地面）高高地；在[向]高处
high school	 中学
ago	 adv. 以前
India	 n. 印度
tent	 n. 帐篷
put up	 搭起，举起
moon	 n. 月亮
surprise	 n. 惊奇，惊讶 v. 使吃惊
get a surprise	 吃惊
snake	 n. 蛇
scared	 adj. 惊慌的
move	 v. 移动
shout to…	 对……大声喊叫
start	 v. 开始，着手
jump	 v. 跳跃
up and down	 上上下下
wake	 v. 弄醒，醒
into	 prep. 到……里面
forest	 n. 森林
ear	 n. 耳朵
anyone	 pron. 任何人
anywhere	 adv. 任何地方 pron. 任何(一个)地方
wonderful	 adj. 精彩的；极好的
few	 adj. 很少的； n. 少量
quite a few	 相当多；不少(后接可数名词)
most	 adj. 最多的；大多数的
something	 pron. 某事物
nothing	 pron. 没有什么 n. 没有
everyone	 pron. 每人；人人
of course	 当然
myself	 pron. 我自己
yourself	 pron. 你自己；你亲自
hen	 n. 母鸡；雌禽
pig	 n. 猪
seem	 v. 似乎；好像
bored	 adj. 无聊的；厌烦的；郁闷的
someone	 pron. 某人；有人
diary	 n. 日记；日记簿
activity	 n. 活动；活跃
decide	 v. 决定；选定(decide to do sth)
try	 v. 尝试；设法；努力  (try to do sth /try doing sth)
paragliding	 n. 空中滑翔跳伞
feel like(doing sth.)	 想要
bird	 n. 鸟；禽
bicycle	 n. 自行车
building	 n. 建筑物
trader	 n. 商人
wonder	 v. 想知道；惊奇；怀疑
difference	 n. 差异；不同
top	 n. 顶部；顶
wait	 v. 等；等待(wait for)
umbrella	 n. 伞；雨伞
wet	 adj. 湿的；雨天的；雨天的
because of	 因为；由于
below	 prep. 低于；在...下面 adv. 在...下面
enough	 adj. 足够的 adv. 足够地；充分地
hungry	 adj. (反full)饥饿的；渴望的
as	 conj. 如同；像一样
hill	 n. 小山；丘陵；山冈；斜坡
duck	 n. 鸭；鸭肉
dislike	 v. 不喜欢；厌恶 n. 不喜爱；厌恶；反感
have a good time	 v. 等于enjoy oneself/have fun(doing sth)玩得痛快
Central Park	 n. 中央公园
Huangguoshu waterfall	 n. 黄果树瀑布
Hong Kong	 n. 香港
Malaysia	 马来西亚
Georgetown	 乔治城（圭亚那首都）
Weld Quay	 海乾街/码头, 位于马来西亚槟城岛(州)
Penang Hill	 马来西亚槟榔山（升旗山）
tian'anmen square	 天安门广场
the Palace Museum	 故宫博物院
housework	 n. 家务劳动
hardly	 adv. 几乎不；简直不；刚刚
ever	 adv. 在任何时候
hardly ever	 很少；几乎从不；难得
once	 adv. 一次；曾经
twice	 adv. 两次；两倍
Internet	 n. 因特网
program	 n. 程序；节目；节目单；课程
full	 adj. 满的；充满的；完全的
swing	 n. 摇摆；秋千 v. 摇摆；旋转
swing dance	 摇摆舞
maybe	 adv. 或许；也许；可能
least	 adj. 最小的；最少的
at least	 至少
junk	 n. 垃圾；废旧杂物
junk food	 n. 垃圾食品；无营养食品
coffee	 n. 咖啡；咖啡色
health	 n. 健康；人的身体或精神状态
result	 n. 结果；后果
percent	 adj. 百分之百的
online	 adj. 在线的 adv. 在线地
television	 n. 电视机；电视节目
although	 conj. 虽然；尽管；然而；可是
through	 prep. 穿过；一直到；凭借
mind	 n. 头脑；想法；意见；心思
body	 n. 身体
such	 adj. 这样的；如此的
such as	 例如；诸如
together	 adv. 共同；一起
die	 v. 死；枯竭；消失
writer	 n. 作者；作家
dentist	 n. 牙科医生
magazine	 n. 杂志
however	 adv. 然而；无论如何；不管多么
than	 conj. 比
more than	 超过；多于；；不仅仅；非常
almost	 adv. 几乎；差不多
none	 pron. 没有人；没有任何东西，毫无
less	 adj. 更少的；较少的
less than	 不到；少于
point	 n. 看法；要点；重点；小数点；目标；分数
outgoing	 adj. 外向的
better	 adj. 更好的；较好的 adv. 更好地
loudly	 adv. 大声地；高声地；花俏地
quietly	 adv. 安静地；悄悄地；平静地
hard-working	 adj. 勤勉的；努力工作的
competition	 n. 竞争；比赛
fantastic	 adj. 极好的；了不起的
which	 pron. 哪一个；哪些
clearly	 adv. 清楚地；显然地
win	 v. 赢；赢得；获胜；获得 n. 胜利
though	 conj. 虽然；尽管； adv. 不过
talented	 adj. 有才能的；有天赋的
truly	 adv. 真实地；真诚地；正确地
care	 v. 在乎；关心；担忧；照顾
care about	 关心
serious	 adj. 严重的；严肃的；庄重的
mirror	 n. 镜子；反映
kid	 n. 孩子，小孩
as long as	 只要
necessary	 adj. 必要的；必然的
be different from	 和...不同
both	 pron. 两者
bring out	 拿出；推出
grade	 n. 成绩
should	 aux. 应该；应当；可能；将要
the same as	 与...同样的
saying	 n. 名言
reach	 v. 到达；伸出；达成；取得联系；延伸；(伸手)去够
hand	 n. 手
touch	 v. 触摸；感动
heart	 n. 心脏；内心
fact	 n. 事实；真相；实际
in fact	 事实上；实际上
break	 v. 打碎；折断；违背；结束; 打破 (困难或不快的情形)
arm	 n. 胳膊
laugh	 v. 发笑；笑 n. 笑声；笑；笑料
share	 v. 分享，共享；共有；分配
loud	 adj. 大声的 adv. 大声地；响亮地
similar	 adj. 类似的
be similar to	 类似于；与...相似
primary	 adj. 小学教育的，初级教育的；原始的；最初的
primary school	 n. 小学
information	 n. 信息；情报；资料
theater	 n. 剧场；电影院；戏院
comfortable	 adj. 舒适的；充裕的
seat	 n. 座位
screen	 n. 屏幕；银幕
close	 v. 关；合拢；不开放；停业（暂时性或永久性）
ticket	 n. 票
worst	 adj. 最坏的；最差的
cheaply	 adv. 廉价地；
song	 n. 歌曲；歌唱
choose	 v. 选择；决定
carefully	 adv. 小心地，认真地
reporter	 n. 记者
so far	 到目前为止；迄今为止
fresh	 adj. 新的；新做的；新增的；新鲜的；清新的
comfortably	 adv. 舒服地；充裕地；容易地
worse	 adj. 更坏的；更差的
service	 n. 公共服务系统，公共服务；公共事业机构
pretty	 adv. 相当地 adj. 漂亮的
menu	 n. 菜单
act	 v. 行动；表演
meal	 n. 一餐；膳食
creative	 adj. 创造的，创造性的；
performer	 n. 表演者；执行者
talent	 n. 天赋；才能，才艺；
common	 adj. 常见的；共同的；普通的
have…in common	 有相同特征
magician	 n. 魔术师；术士
all kinds of	 各种各样；各种类型
beautifully	 adv. 美丽地；完美地；
be up to	 是…….的职责；由…….决定
role	 n. 作用；角色
play a role	 发挥作用；有影响
winner	 n. 获胜者
prize	 n. 奖品；奖金
everybody	 pron. 每人；人人
make up	 编造
example	 n. 例子；榜样
for example	 例如
poor	 adj. 贫穷的；可怜的
seriously	 adv. 严重地；严肃地
take…seriously	 认真对待......
give	 v. 给；赠予；送
crowded	 adj. 拥挤的
sitcom	 n. 情景喜剧（situation comedy的缩写）
